station_no,lat,lng,gu,usage,nh3,co,no2,voc,pm10,time_type
139,36.32225,127.41146,jung-gu,37,0.23516,2.68309,1.90801,29.64225,143.69086,3
55,36.36245,127.34413,yuseong-gu,186,0.19879,2.1124,1.98345,19.32686,41.36556,3
135,36.32069,127.40595,jung-gu,37,0.29396,3.29524,1.34293,34.23283,10.25704,3
121,36.34714,127.43151,dong-gu,32,0.16797,1.85557,1.93475,13.04694,39.35717,3
173,36.35793,127.37708,seo-gu,18,0.1449,1.87878,2.86565,21.58994,515.76107,3
176,36.29931,127.33498,seo-gu,9,0.29134,3.2439,1.12305,38.04567,35.91472,3
52,36.34348,127.38114,seo-gu,27,0.16697,2.08499,2.84321,18.78716,220.32019,3
113,36.32851,127.388,seo-gu,10,0.24275,3.0687,1.91808,31.0194,26.97198,3
36,36.35751,127.39652,seo-gu,41,0.20456,2.25288,2.94021,16.14356,29.2901,3
189,36.29976,127.32035,yuseong-gu,37,0.24337,3.00247,1.15247,34.00411,7.54031,3
29,36.36751,127.37516,seo-gu,73,0.15071,1.88353,2.48149,17.12945,267.97411,3
6,36.36232,127.37643,seo-gu,38,0.19798,2.46843,2.68527,23.85952,32.33176,3
64,36.34828,127.33073,yuseong-gu,59,0.17053,1.87891,2.01343,30.8189,5.24671,3
115,36.35749,127.43432,dong-gu,18,0.17859,2.25253,2.9963,21.92116,41.77746,3
122,36.35853,127.42368,daedeog-gu,54,0.14965,1.7756,2.12175,13.64851,40.73836,3
60,36.35321,127.34113,yuseong-gu,115,0.17432,2.08958,2.31813,28.52798,27.03346,3
